5 0.0639551 0.106231
6 0.0318559 0.0521653
7 0.0157499 0.0260919
8 0.00783232 0.0132432
9 0.00391266 0.00666515
10 0.00195526 0.00335324
11 0.000971339 0.00168586
12 0.00048838 0.000833003
13 0.000244411 0.000419276
14 0.000122359 0.000208646
15 6.10202e-05 0.000104409
16 3.05323e-05 5.24278e-05
17 1.51687e-05 2.62513e-05
18 7.55582e-06 1.30899e-05
19 3.75454e-06 6.50842e-06
20 1.83047e-06 3.18708e-06
21 8.97144e-07 1.60912e-06
22 4.14379e-07 7.91867e-07
23 1.94561e-07 3.79322e-07
24 1.16158e-07 2.79571e-07
25 4.78137e-08 1.03238e-07
