0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 0 0 0
11 0 0 0
12 0 0 0
13 0 0 0
14 0 1 0
15 2 1 1
16 0 1 0
17 1 4 1
18 4 8 1
19 8 10 5
20 11 12 2
21 12 17 9
22 10 12 12
23 10 16 9
24 9 23 9
25 18 19 17
26 19 29 18
27 16 28 20
28 22 25 25
29 23 30 39
30 26 38 52
31 27 26 105
32 20 29 127
33 20 53 119
34 25 45 173
35 22 44 248
36 34 59 311
37 30 83 373
38 38 72 386
39 37 92 431
40 33 84 654
41 62 105 820
42 106 159 1056
43 141 146 1085
44 150 192 1123
45 161 230 1240
46 229 265 1264
47 252 274 1454
48 322 341 1622
49 359 335 1649
50 335 374 1826
51 322 371 1875
52 307 409 2007
53 355 437 2140
54 389 538 2209
55 502 566 2326
56 558 614 2584
57 626 702 2764
58 731 766 2945
59 762 856 3006
60 750 823 3359
61 810 923 3598
62 847 988 3815
63 899 978 3956
64 964 1107 4170
65 972 1205 4377
66 1087 1291 4415
67 1197 1352 4557
68 1306 1351 4573
69 1385 1488 4897
70 1436 1538 4940
71 1498 1577 5055
72 1618 1681 5207
73 1732 1785 5077
74 1883 1874 5206
75 2083 1986 5250
76 2167 2056 5165
77 2152 2190 5150
78 2344 2252 5085
79 2483 2357 4974
80 2529 2283 4855
81 2470 2363 4577
82 2530 2414 4474
83 2538 2389 4430
84 2797 2475 4395
85 2996 2628 4468
86 3229 2769 4277
87 3361 2830 4188
88 3661 2847 4151
89 3688 2974 3979
90 3735 3081 3696
91 3793 3202 3551
92 3764 3182 3301
93 3764 3033 3149
94 3766 3008 3016
95 3693 3100 2954
96 3726 3114 2994
97 3788 3308 2847
98 3747 3350 2755
99 3833 3594 2729
100 3726 3600 2596
101 3693 3677 2460
102 3550 3604 2492
103 3461 3626 2249
104 3386 3345 2131
105 3360 3270 2037
106 3326 3314 1923
107 3310 3455 1944
108 3350 3508 1825
109 3457 3507 1763
110 3373 3472 1762
111 3218 3454 1659
112 3173 3349 1633
113 2997 3069 1569
114 2891 2949 1574
115 2762 2785 1448
116 2825 2799 1435
117 2754 2713 1415
118 2734 2775 1373
119 2650 2544 1292
120 2544 2609 1377
121 2372 2481 1346
122 2223 2453 1260
123 2167 2421 1123
124 2102 2328 1079
125 2148 2364 1117
126 2091 2337 1051
127 1941 2250 985
128 1978 2240 944
129 1912 2147 899
130 1798 2019 771
131 1790 1932 740
132 1704 1867 735
133 1582 1830 699
134 1611 1825 680
135 1650 1814 662
136 1659 1701 681
137 1550 1580 633
138 1473 1482 690
139 1464 1419 640
140 1378 1367 574
141 1395 1397 587
142 1428 1291 561
143 1445 1410 581
144 1435 1357 568
145 1531 1298 542
146 1462 1274 504
147 1391 1178 467
148 1477 1108 427
149 1393 987 425
150 1331 987 377
151 1294 925 400
152 1377 986 412
153 1316 993 374
154 1260 1064 360
155 1340 1036 373
156 1293 1059 351
157 1125 1005 312
158 1029 933 325
159 950 982 299
160 887 960 319
161 930 1032 295
162 906 1043 265
163 950 1121 240
164 1012 1201 205
165 1155 1155 201
166 1260 1176 206
167 1277 1058 145
168 1271 956 155
169 1293 854 136
170 1211 884 115
171 1219 883 105
172 1109 879 103
173 1160 890 81
174 1239 978 89
175 1262 1165 77
176 1297 1340 62
177 1192 1502 77
178 1140 1478 61
179 1068 1561 56
180 1002 1502 56
181 941 1461 63
182 931 1435 49
183 932 1373 55
184 917 1253 48
185 919 1137 39
186 927 1082 48
187 908 981 54
188 845 880 51
189 851 897 43
190 730 820 52
191 694 908 38
192 647 902 44
193 670 864 36
194 679 728 41
195 589 711 27
196 537 654 24
197 562 645 32
198 485 668 23
199 402 745 22
200 365 736 21
201 325 737 22
202 284 665 16
203 272 646 17
204 237 528 9
205 209 433 9
206 150 373 4
207 136 293 9
208 118 242 2
209 111 217 4
210 116 151 8
211 102 129 8
212 57 114 2
213 48 159 3
214 21 106 2
215 24 70 4
216 17 43 2
217 18 22 2
218 24 3 5
219 15 7 7
220 19 0 2
221 13 3 2
222 7 0 1
223 8 1 1
224 2 1 3
225 1 0 4
226 1 0 1
227 1 0 3
228 0 0 1
229 0 0 0
230 0 0 0
231 0 0 2
232 0 0 0
233 0 0 0
234 0 0 0
235 0 0 0
236 0 0 0
237 0 0 0
238 0 0 0
239 0 0 0
240 0 0 0
241 0 0 0
242 0 0 0
243 0 0 0
244 0 1 0
245 1 0 0
246 0 0 0
247 0 0 0
248 0 0 0
249 0 0 1
250 0 0 0
251 0 0 0
252 0 0 0
253 0 0 0
254 0 0 0
255 0 0 0
