0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 0 0 0
11 0 0 0
12 0 0 0
13 0 0 3
14 0 0 1
15 0 0 9
16 0 0 6
17 0 0 8
18 0 0 11
19 0 0 9
20 0 0 16
21 0 3 11
22 0 6 17
23 0 5 23
24 0 6 20
25 0 10 24
26 0 6 22
27 0 3 28
28 0 7 30
29 1 8 34
30 2 14 35
31 0 10 36
32 5 12 40
33 7 12 62
34 6 17 49
35 5 21 42
36 5 18 34
37 5 15 38
38 4 16 59
39 9 30 58
40 5 16 64
41 4 20 81
42 10 26 64
43 7 24 78
44 13 36 71
45 15 30 64
46 15 27 62
47 15 32 77
48 14 25 72
49 27 26 63
50 20 25 75
51 18 25 85
52 17 43 64
53 19 38 85
54 20 43 82
55 26 32 89
56 42 44 91
57 27 51 93
58 36 34 100
59 33 45 85
60 32 42 84
61 41 32 89
62 42 50 98
63 43 44 91
64 36 43 94
65 25 42 87
66 31 45 88
67 37 58 93
68 29 47 86
69 36 50 83
70 61 62 93
71 47 39 78
72 47 66 79
73 44 54 89
74 49 43 69
75 50 56 68
76 46 57 62
77 60 64 59
78 45 56 47
79 54 55 66
80 51 67 56
81 46 64 49
82 48 74 48
83 42 65 43
84 45 51 45
85 56 63 30
86 62 59 32
87 57 76 37
88 55 68 42
89 70 61 43
90 61 74 24
91 54 58 21
92 65 61 43
93 46 56 43
94 60 57 33
95 75 68 33
96 72 56 31
97 55 60 37
98 84 70 32
99 69 73 22
100 69 59 35
101 66 61 32
102 76 63 27
103 71 78 30
104 65 52 26
105 70 59 35
106 73 49 34
107 69 80 21
108 70 74 25
109 67 61 21
110 70 58 17
111 69 61 31
112 55 64 13
113 59 58 25
114 64 41 19
115 52 54 13
116 49 58 15
117 48 60 9
118 49 55 15
119 49 35 15
120 45 46 8
121 50 48 11
122 57 57 14
123 54 44 10
124 53 41 10
125 42 53 16
126 46 40 9
127 46 34 14
128 65 52 14
129 49 33 16
130 59 34 9
131 44 63 13
132 54 32 15
133 58 38 11
134 57 34 12
135 57 28 13
136 51 36 9
137 40 21 13
138 45 22 13
139 29 10 7
140 32 20 22
141 39 22 10
142 36 15 7
143 40 15 10
144 44 19 17
145 33 18 15
146 35 27 5
147 43 19 13
148 30 14 17
149 31 13 12
150 30 15 10
151 33 8 9
152 23 15 12
153 30 17 11
154 22 18 9
155 23 17 9
156 33 15 13
157 34 9 11
158 32 21 11
159 22 15 3
160 24 15 9
161 24 20 10
162 39 16 5
163 48 11 12
164 49 13 12
165 74 11 16
166 85 19 10
167 95 13 18
168 94 15 13
169 147 13 12
170 177 15 10
171 134 17 12
172 135 11 17
173 116 28 11
174 138 20 12
175 144 19 20
176 201 20 15
177 219 31 16
178 247 22 17
179 219 22 21
180 335 68 19
181 385 61 16
182 323 94 24
183 280 90 21
184 187 119 23
185 169 164 26
186 147 220 30
187 128 180 32
188 68 112 41
189 44 142 34
190 42 167 34
191 31 235 39
192 19 337 38
193 23 425 50
194 24 509 46
195 27 390 51
196 23 356 60
197 19 247 53
198 9 220 83
199 29 200 110
200 23 151 129
201 40 61 178
202 26 80 243
203 37 74 286
204 35 70 345
205 54 79 389
206 53 101 404
207 47 153 415
208 69 172 571
209 81 154 592
210 80 193 592
211 109 167 569
212 157 120 489
213 197 136 478
214 198 168 336
215 166 149 308
216 156 183 359
217 133 187 331
218 133 199 299
219 141 232 300
220 169 261 355
221 170 262 379
222 182 301 375
223 209 356 353
224 252 350 241
225 222 374 215
226 259 397 138
227 301 360 58
228 358 294 16
229 401 242 5
230 394 163 0
231 388 63 0
232 341 17 0
233 259 3 0
234 228 0 0
235 152 0 0
236 57 0 0
237 17 0 0
238 3 0 0
239 0 0 0
240 0 0 0
241 0 0 0
242 0 0 0
243 0 0 0
244 0 0 0
245 0 0 0
246 0 0 0
247 0 0 0
248 0 0 0
249 0 0 0
250 0 0 0
251 0 0 0
252 0 0 0
253 0 0 0
254 0 0 0
255 0 0 0
